Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,58.361067503924644,0.12964678178963895,u1,MAL USO,MEDIA
1,calefaccion,salon,60.47599164926931,0.09899999999999903,u1,MAL USO,
2,luz,salon,59.84992784992785,0.13070851370851383,u1,MAL USO,MEDIA
3,planchado,cocina,66.1841620626151,0.14564456721915298,u1,MAL USO,ALTA
4,calefaccion,dormitorio_principal,57.49010654490107,0.13039573820395722,u1,MAL USO,MEDIA
5,secado,pasillo,74.43614001892148,0.1451087984862836,u1,MAL USO,ALTA
6,secado,cocina,61.208747514910534,0.14525447316103382,u1,MAL USO,ALTA
7,luz,dormitorio_principal,60.03672612801679,0.1215393494228757,u1,MAL USO,MEDIA
8,calefaccion,salon,41.0419447092469,0.14486177311725632,u1,MAL USO,ALTA
9,secado,cocina,69.63071895424837,0.09900000000000017,u1,BUEN USO,
10,planchado,pasillo,64.65255474452555,0.1284569343065695,u1,MAL USO,MEDIA
11,planchado,cocina,71.12025316455696,0.09900000000000017,u1,BUEN USO,
12,planchado,dormitorio_secundario,65.3395399780942,0.13474808324205928,u1,MAL USO,MEDIA
13,secado,dormitorio_secundario,60.25993883792049,0.1293119266055046,u1,MAL USO,MEDIA
14,secado,pasillo,51.732374100719426,0.09899999999999878,u1,BUEN USO,
15,luz,cocina,96.424543946932,0.13688391376451106,u1,MAL USO,MEDIA
16,calefaccion,dormitorio_secundario,60.09969325153374,0.12757822085889578,u1,MAL USO,MEDIA
17,luz,cocina,27.625514403292183,0.13740192043895763,u1,MAL USO,MEDIA
18,secado,dormitorio_principal,62.55507868383405,0.1292660944206012,u1,MAL USO,MEDIA
19,calefaccion,cocina,58.67799113737075,0.1317636632200888,u1,MAL USO,MEDIA
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
25,luz,dormitorio_secundario,61.3342776203966,0.12909915014164308,u1,MAL USO,MEDIA
34,luz,pasillo,60.62464183381089,0.13045702005730678,u1,MAL USO,MEDIA
27,secado,salon,57.61339421613394,0.12909893455098964,u1,MAL USO,MEDIA
41,secado,dormitorio_secundario,60.25993883792049,0.1293119266055046,u1,MAL USO,MEDIA
1,planchado,cocina,61.030911901081915,0.12931839258114378,u1,MAL USO,MEDIA
32,planchado,dormitorio_principal,58.361067503924644,0.12964678178963895,u1,MAL USO,MEDIA
9,planchado,dormitorio_secundario,60.886128364389236,0.14476190476190498,u1,MAL USO,ALTA
26,calefaccion,cocina,58.769067796610166,0.1443834745762713,u1,MAL USO,MEDIA
39,secado,pasillo,60.29299363057325,0.14462845010615732,u1,MAL USO,ALTA
29,luz,cocina,61.55268817204301,0.14477204301075278,u1,MAL USO,ALTA
46,planchado,salon,58.93156732891832,0.14426931567328927,u1,MAL USO,MEDIA
6,calefaccion,dormitorio_secundario,61.97560975609756,0.14444634146341473,u1,MAL USO,MEDIA
49,calefaccion,dormitorio_secundario,56.921487603305785,0.09900000000000017,u1,MAL USO,
40,calefaccion,salon,30.292887029288703,0.14438493723849333,u1,MAL USO,MEDIA
8,luz,dormitorio_principal,31.173728813559322,0.14468644067796563,u1,MAL USO,ALTA
38,planchado,pasillo,69.0936170212766,0.09900000000000017,u1,BUEN USO,
31,calefaccion,salon,90.02586206896552,0.14487931034482718,u1,MAL USO,ALTA
30,calefaccion,pasillo,62.36842105263158,0.09900000000000017,u1,MAL USO,
44,calefaccion,pasillo,90.23451327433628,0.14435398230088448,u1,MAL USO,MEDIA
45,secado,cocina,90.55156950672645,0.1451165919282506,u1,MAL USO,ALTA
3,secado,cocina,32.1981981981982,0.1449459459459454,u1,MAL USO,ALTA
4,luz,salon,29.378995433789953,0.14447488584474835,u1,MAL USO,MEDIA
23,planchado,pasillo,30.889908256880734,0.14364220183486193,u1,MAL USO,MEDIA
15,luz,cocina,58.575471698113205,0.09900000000000017,u1,MAL USO,
33,calefaccion,cocina,58.59139784946237,0.09900000000000016,u1,MAL USO,
47,planchado,dormitorio_secundario,61.92178770949721,0.09900000000000016,u1,BUEN USO,
37,secado,pasillo,90.18115942028986,0.09900000000000016,u1,BUEN USO,
11,luz,salon,86.408,0.15,u1,MAL USO,ALTA
42,secado,dormitorio_principal,76.67213114754098,0.14486065573770482,u1,MAL USO,ALTA
48,secado,cocina,88.39669421487604,0.09900000000000016,u1,BUEN USO,
22,secado,dormitorio_principal,48.902654867256636,0.144646017699115,u1,MAL USO,ALTA
17,planchado,salon,38.50892857142857,0.09900000000000016,u1,BUEN USO,
14,secado,cocina,31.22222222222222,0.09900000000000014,u1,BUEN USO,
36,secado,pasillo,29.51923076923077,0.09900000000000014,u1,BUEN USO,
